pdb_id	Hchain	Lchain	antigen_chain
8wpy	A	B	R
8wpy	C	D	R
8wpy	H	L	R
9asd	H	L	R
9atm	H	L	R
9atm	I	M	R
9au1	M	N	R
9au1	H	L	R
9jkq	N		A | B
9jr2	S	s	A | B
9jr3	S	s	A | B
8y0q	H	L	2
8y0r	H	L	2
8k18	C	D	E
8k19	A	B	E
8v5l	H	L	A
8v5l	B	C	A
8v5p	H	L	A
8v5p	E	Y	D
8v5p	J	X	G
8v5p	F	I	C
8v5s	H	L	C
8v5s	A	B	D
8vdl	H	L	C
8vqd	C	B	A
8yn2	E	e	A | B
8yn3	N		A | B
8yn4	E	e	A | B
8yn5	E	e	A | B
8yn6	E	e	A | B
8yn9	E	e	A | B
9gyo	N		A | B
8vsj	H	L	A | B
8s4u	B		A
8s5u	B		A
8s5w	B		A
8s61	B		A
8vdf	H	L	A
8vdg	H	K	A
8vgv	C	D	A
8vgv	G	H	E
8vgv	K	L	I
8vgw	C	D	A
8vgw	G	H	E
8vgw	K	L	I
8vh1	C	D	A
8vh1	G	H	E
8vh1	K	L	I
8wjx	N		A | B
8xwp	D	d	A | B
8xwq	D	d	A | B
9axn	H	L	H
9axn	A	B	A
9axn	C	D	C
9axn	I	J	I
9axn	M	N	M
9axn	O	P	O
9axn	Q	R	R
9axo	H	L	L
9axr	H	L	H
9bhb	H	K	A
9ew2	N		A | B
9g5k	B		A
9iqt	E	e	A | B | C
8qj2	N		B | C
8qj2	D		A
8r38	H	L	S
8uy6	B		A
8uy6	D		C
8uy6	F		E
8uy6	H		G
8uy6	J		I
8uy6	L		K
8uy6	N		M
8uy6	P		O
8weo	C		B
8weo	D		A
8wfh	E	e	A
8wfm	A	a	B
8wfm	C	c	D
8wfm	E	e	F
8wfm	G	g	H
8wrd	H	L	A
8wre	H	L	A
8wvg	H	L	A
8zdw	U	R	A
8zdw	F	E	C
8zdw	L	J	H
8zps	E	e	A | B | G
8zpt	E	e	A | B
9cj7	H	L	C | B | A
9dn4	A	B	E
9dn4	D	C	F
8rtw	B	A	A
8rtw	D	C	C
8tx3	H	L	D | C
8tx3	E	J	B | A
8tx3	F	K	I | G
8txu	E	J	D | C
8txu	F	K	I | G
8txu	H	L	B | A
8vut	H	L	A
8vut	I	M	C | B
8s4h	A	B	A
8s4h	C	D	C
8s4h	H	L	H
8s4k	H	L	L
8vym	D	E	B
8vym	G	F	A
8vym	K	H	B
8vym	J	I	C
8vyn	D	E	A
8vyn	F	G	A
8vyn	H	I	B
8vyn	J	K	B
8vyn	L	M	C
8vyn	N	O	C
8wcg	C		A
8wcg	D		B
8wcg	b		B
8wcg	E		A
8xor	E	e	A | B
8xos	E		A | B
8xps	B		A
8xpy	B		A
8xq3	F		B
8xq3	E		A
8xq3	G		C
8xq3	H		D
8yw3	N		A | B
8yw4	N		A | B
9ato	D		C
9ato	F		B
9ato	L		A
9atp	D		A
9atp	E		C
9atp	L		B
8ukh	H	L	A
8ukh	I	M	B
8ukh	J	N	C
8ukh	K	O	D
8ulf	H	L	A
8ulf	I	M	B
8ulf	J	N	C
8ulf	K	O	D
8vuh	H	L	A
8vuh	I	M	C
8vuj	H	L	A
8vuj	I	M	C
8vul	H	L	A
8vun	G	I	C
8vun	K	L	A
8vuq	G	I	A
8vur	H	L	A
8vus	E	F	C
8vus	H	L	A
8vuu	H	L	A
8vuu	J	K	C
8vuv	H	L	A
8vuy	H	L	A
8vuy	J	K	C
8vvh	H	L	A
8y4a	H	L	C
8y4a	D	E	A
8ysf	C		B
8ysf	D		A
8ysh	A		B
8yxi	C	B	A
8zoy	B		A
8zpb	B		A
9clp	H	L	A
9ima	C	D	A | B
9jbq	A	B	C
8keh	G	F	B
8keh	E	D	A | C
8vr9	E	D	A | C
8vra	E	D	A | C
8vrb	E	D	A | C
8x9b	O	P	I | E
8x9b	R	S	L | H
8zer	A		C
8zer	D		I
8zer	F		B | E
8zer	H		G
8zer	J		I
8zes	E		D
8zes	B		C
8zes	F		D
8zes	H		A | G
8zes	J		I
8jxr	H	L	C
8jxr	B		A
8jxs	H	L	C
8jxs	B		A
8qw4	B		A
8rvn	H	L	F
8sow	C	c	A
8soz	C	c	A
8tzy	A	B	C
8u3s	B		A
8uvy	B		A
8uw2	B		A
8uw7	B		A
8uw9	B		A
8w90	A		B
8w90	C		D
8w90	E		F
8y4c	H	L	A
8y4c	D	F	B
8y4c	E	G	C
8z8m	B		A
8z8m	D		C
8z8m	F		E
8z8m	H		G
8z8m	J		I
8z8m	L		K
8z8v	B		A
9aur	H	L	R
9aus	H	L	R
9aus	A	B	C
9bge	D	E	B
9bge	F	G	C
9bge	H	L	A
8tkc	G	H	B | A
8tkc	I	J	D | C
8tkc	K	L	F | E
8tl2	G	H	B | A
8tl2	K	L	F | D | E
8tl3	G	H	B | A
8tl3	I	J	D | C
8tl3	K	L	F | E
8tl4	G	H	B | A
8tl4	I	J	D | C
8tl4	K	L	F | E
8tl5	G	H	B | A
8tl5	I	J	D | C
8tl5	K	L	F | E
8q6r	A		D
8q6r	B		F
8q7o	A		C
8q7o	B		D
8tbb	H	L	D
8tft	I	M	F
8tft	H	L	G
8tuz	H	L	A
8tv3	H	L	A
8tvd	H	L	E
8tvd	B	A	C
8tvj	H	L	E
8ug9	M		A
8ug9	N		B
8ug9	O		C
8xve	N		A | B
8xvh	N		A | B
8xvi	N		A | B
9iy2	H	L	A
9iy2	D	C	B
9iy2	E	F	B
9iy2	G	I	A
9ijd	D	d	A
9ijd	N		A | B
9ije	D	d	A
9ije	N		A | B
8jjp	S	s	C | B
8tzq	E	e	B | A
8xgm	S	s	C | B
8zhe	H	L	A
8zhe	F	G	C
8zhe	J	K	B
8zhf	H	L	A
8zhf	F	G	C
8zhf	J	K	B
8zhf	R	U	D
8zhf	M	N	I
8zhf	S	T	E
8zhg	H	L	C
8zhk	E	D	C
8zhk	J	F	B
8zhk	M	K	A
8zhk	N	L	I
8zhk	P	O	H
8zhk	R	Q	G
8zhn	G	I	C
8zhn	E	D	C
8zhn	H	L	A
8zhn	N	O	B
8zhn	J	F	B
8zhn	M	K	A
8zho	D	E	C
8zho	H	L	C
8zhp	D	E	C
8zhp	H	L	C
8zhp	B	F	A
8zhp	G	I	A
8kdm	E	D	B | C
8kdm	G	F	A
8q3j	C	B	A
8q3j	F	E	D
8kdr	H	L	A
8kds	E	D	A
8kds	G	F	C
8kds	I	H	B
8kdt	H	L	A
8kej	H	L	A
8kek	H	L	A
8keo	E	D	A
8keo	G	F	B
8keo	I	H	C
8kep	H	L	A
8keq	E	D	A
8keq	G	F	B
8ker	I	H	C
8ker	E	D	A
8ker	G	F	B
8tnj	D	C	A
8tnj	E	F	A
8u5l	F	f	D
8u5l	H	h	C
8u5l	J	j	A
8u5l	K	k	E
8u5l	N	n	B
8vy4	A	B	C
8sdh	H	L	B
8sdh	C	D	A
8to9	D	F	A
8to9	E	G	B
8to9	H	L	C
8tpw	H	L	B | A
8tpx	H	L	B | A
8v9w	A		A
8v9w	B		B
8v9w	C		C
8v9w	D		D
8v9x	A		A
8v9z	A		A
8va0	A		A
8va0	B		B
8yw5	N		A | B
8zfj	D	d	A | B
8k6m	S	s	A | B
8k6n	S	s	A | C | B
8k6o	S	s	A | B
8k9b	A	B	E
8k9j	A	B	E
8k9j	G	F	D
8k9m	A	B	E
8k9m	G	F	C
8kgg	E	e	A | B
8qkr	B	C	A
8qkr	E	F	D
8qks	C	B	A
8qks	F	E	D
8qks	J	I	H
8qks	L	K	G
8qks	P	O	N
8qks	R	Q	M
8qks	V	U	T
8qks	X	W	S
8t59	A	B	E
8t59	C	D	F
8tmy	H	L	S
8tmy	A	B	M
8tmy	C	D	N
8tmz	H	L	A
8vcr	D	F	C
8vcr	E	G	A
8vcr	H	L	B
8xx0	H	L	H
8yww	H	h	C
8yww	E	D	A
8yww	G	F	B
8ywx	E	D	A
9ber	H	L	G
9ber	D	E	A
9ber	J	K	F
9bew	C	D	G
9bew	H	L	G
9bew	F	I	A
9bew	J	K	A
9bew	O	P	M
9bew	Q	R	M
9bf6	D	E	C
9bf6	G	H	F
9bf6	K	L	J
9f1i	H	L	P
9f1i	I	M	Q
9g13	A		B
9g13	E		F
9g13	C		D
9g13	G		H
9g7k	C		B
9g7k	D		A
9g7k	G		F
9g7k	H		E
7x35	H	L	A | C | B
8tgv	E	F	A
8tgv	B	C	D
8tgv	I	J	G
8thz	H	L	A
8thz	E	F	A
8tjn	C	D	A
8tjn	E	F	B
8tjo	C	D	A
8tjo	E	F	B
8vif	H	L	R
8vke	H	L	R
8vke	A	B	C
8vm8	H	L	R
8vm9	A	B	C
8vm9	H	L	R
8vma	A	B	C
8vma	H	L	R
8vmb	H	L	R
8vww	B	C	A
8vww	H	L	A
8w4f	D		B
8w4f	E		A
8w4f	F		C
8zgu	H	L	A
8zsj	N		A | B
8zsp	N		A | B
8zss	N		A | B
8zsv	N		A | B
9bir	B		A
9bis	B		A
9bit	B		A
9biu	B		A
9euo	H	L	A
9eup	H	L	A
9g1y	C		A
9g1y	D		B
9g2g	C		A
9g2g	D		B
9g48	C		A
9g48	D		B
9g4g	B		A
9g5l	B		A
9g5z	C		A
9g5z	D		B
8udz	C	D	B
8udz	E	F	B | A
8vyl	F		D | C
8vyl	E		B | A
8q5y	R	L	D
8q5y	G	H	E
8q5y	B	A	C
8k33	B		A
8k33	D		C
8k33	F		E
8k33	H		G
8k33	J		I
8k33	M		L
8k33	O		N
8k33	Q		K
8k33	R		P
8k33	T		Y
8k33	V		U
8k33	X		W
8k3a	B		A
8k3l	B		A
8k3l	D		C
8k3l	F		E
8k3l	H		G
8k3z	S	s	C | B
8rz0	B	b	A
8rz0	D	d	C
8rz0	F	f	E
8rz0	H	h	G
8rz1	A	a	B
8rz1	C	c	D
8rz2	B	C	A
8tg9	H	L	A
8tg9	E	F	B
8tga	E	F	B
8tga	H	L	A
8trv	C	G	A
8trv	D	E	B
8vvk	D	C	B
8vvk	H	L	A
8vvl	H	L	A
8w1v	D		A
8w1v	F		B
8x7n	B		A
8x7n	D		C
8x7n	F		E
8x7n	H		G
8x7n	J		I
8xse	H	L	A
8xse	M	N	A
8xsf	H	L	B
8xsi	H	L	B
8xsj	H	L	B
8xsl	H	L	A
8xsl	M	N	B
9bjk	N		R
9fzc	C		A
9fzc	D		B
9fzd	B		A
9g2a	C		A
9g2a	D		B
8pn0	A	B	F | E
8pn0	H	L	D | C
8pmx	H	L	A | B
8pmz	B	b	A
8pmz	D	d	C
8tdx	A	D	E
8tdx	B	C	F
8vui	A	G	D
8vvm	A	G	I
8vvm	B	C	I
8vvo	A	G	I
8vvo	B	C	I
8xk2	B		A
8xk2	D		C
8xk2	F		E
8xk2	H		G
8xk5	A	B	E
8xk5	C	D	F
8xk5	I	J	K
8xk5	N	O	R
8xk5	G	H	L
8xk6	H	L	A
8xk8	H	L	A
8xk8	C	D	B
8xki	D		C
8xn9	H	D	A
8xn9	G	E	C
8xn9	I	F	B
8xnh	I	D	C
8xnh	H	E	A
8xnh	G	F	B
8xql	N		A | B
8xqn	S	s	A | B
8xqo	S	s	A | B
8xqp	S	s	A | C | B
8xqr	N		A | B
8xqs	S	s	A | B
8xqt	S	s	A | B
8yky	S	s	A | C | B
8zbe	E	e	B | D | C
8zcj	E	e	B | C
8zqe	S	s	A | B
8ut2	H	G	B | A
8ut2	J	I	D | C
8ut2	L	K	F | E
8oyt	E		C
8oyt	G		B
8oyt	F		A
8s2e	H	L	C
8xio	D		B | C
8xip	D		B | C
8xiq	D		B | C
8xir	D		B | C
8y6a	C	D	B
8ytp	A	a	a
8yzk	C	c	A
8yzk	D	d	B
8zh8	S	s	A
8zh8	N		B
8zjd	S	s	A | B
8zje	S	s	A | B
9at8	L	K	F | E
9en2	B		A
9en2	C		A
8txt	H	L	F | E
8txt	G	I	D | C
8txt	J	K	B | A
8u44	V	X	B | A
8u44	S	T	I | G
8u44	U	W	J | H
7scn	H	L	B | A
7scn	E	F	D | C
7scn	J	K	I | G
7sco	H	L	B | A
7sco	E	F	D | C
7sco	J	K	I | G
8dk5	K	k	G | F | E | H
8dk5	N	n	C | B | D
8iqr	H	L	H
8iqr	h	l	h
7t0f	H	L	L
7uib	B		A
7uib	E		D
7uie	B		A
7uie	C		D
7uie	E		F
7uie	I		J
7uie	G		H
7uij	H	L	C
7uij	A	B	D
8av2	C		A
8av2	D		B
8dbz	D	E	A
8dbz	B	C	A
8dcn	A	B	C
8dcn	D	E	F
8gjm	D	E	A
8gjn	A	B	C
8ghk	H	L	C
8ghk	M	N	B
8gjr	A		C
8k4q	B		A
8k4q	D		C
8s0l	B		A
8s0m	U		B
8s0m	V		E
8s0n	B		A
8s0n	D		C
8tv1	D	E	C
8txm	H	L	B | A
8txp	H	L	B | A
8ty7	H	L	B | A
8vqy	J	I	B
8vqy	K	L	D
8vrn	J	I	B
8vrn	K	L	D
9b70	G		A
9b70	H		B
9b71	H		B
9b71	G		A
9erx	F	f	A | C | B
8yj7	G	g	B
8yj7	E	e	C
8yj7	F	f	B
8yj7	H	h	A
8rmm	L		A
8rmm	M		B
8rmm	O		E
8rmm	P		F
8rmm	Q		G
8rmm	R		H
8rmm	S		I
8rmm	T		I
8rmm	U		K
8rmm	N		D | C
8c0y	B	D	A
8jr3	A	D	F
8jr3	B	C	E
8kg5	D	E	C | B
8khr	H	L	C | A | B
8pe1	C		A
8pe1	D		B
8pe2	B		A
8qh0	H	L	A
8qh1	H	L	E
8rgz	D	E	A
8rgz	H	L	B
8rgz	F	G	C
8rh0	H	L	A
8rh0	D	E	B
8rh0	F	G	C
8rh1	D	E	A
8rh1	H	L	B
8rh1	F	G	C
8rh2	H	L	B
8rh2	D	E	C
8rh2	F	G	A
8rmk	L		B
8rmk	M		C
8rmk	N		D
8rmk	O		E
8rmk	P		F
8rmk	Q		G
8rmk	R		H
8rmk	S		I
8rmk	T		J
8rmk	U		K
8rmk	V		A
8rml	L		A
8rml	M		B
8rmn	U		A
8rmn	V		B
8rmn	W		C
8rmn	X		D
8rmn	Y		E
8rmn	Z		F
8rmn	a		G
8rmn	b		H
8rmn	c		I
8rmn	d		J
8rmn	e		K
8rmn	f		L
8rmn	g		M
8rmn	h		N
8rmn	i		O
8rmn	j		P
8rmn	k		Q
8rmn	l		R
8rmn	m		S
8rmn	n		T
8rp8	A	B	C
8rp8	H	L	D
8rpb	H	L	P
8t51	A	B	E
8t51	C	D	F
8tr3	H	L	A
8tr3	I	M	C
8tr3	J	N	E
8ts0	H	L	A
8u31	C	B	A
8u32	C	B	A
8u32	F	E	D
8ukv	C		A
8ukv	D		B
8urf	H	L	A
8v5a	Y		A
8v5a	W		B
8v5a	U		C
8vk1	F	E	D
8vk1	C	B	A
8wss	H	h	A | B
8wst	N		A | B
8wz2	E	e	A | B
8xbf	D	E	A
8xbf	F		B
8xxw	H	L	E
8yj5	C		A
8yj8	D		B
8zr5	N		A | G | B
8zrk	N		A | B
8jiz	E	F	B
8jiz	G	H	D | A
8yz5	G	K	D
8yz5	I	J	C | A
8hlc	H	L	A
8hlc	I	M	B
8hlc	J	N	C
8hld	H	L	A
8hld	I	M	B
8hld	J	N	C
8ikg	S	s	A | B
8ikh	S	s	A | B
8jj0	E	F	D | A
8jj1	H	G	D
8jj1	E	F	B
8jj2	E	F	D
8jmm	H	h	A
8jmm	I	i	B
8jmm	J	j	B
8jmm	K	k	C
8jmm	M	m	D
8jmm	N	n	D
8jmm	O	o	E
8jmm	P	p	E
8jmm	Q	q	F
8jmm	R	r	F
8jmm	G	g	A
8jmm	L	l	C
8jn1	H	L	C | E
8jn2	H	L	E | C
8jn3	H	L	C | E
8jn4	H	L	C | E
8jn5	H	L	C | E
8jn6	H	L	C
8jn7	H	L	C
8jow	A	a	B
8jow	C	c	D
8jys	A		B
8jys	C		D
8p5m	G	L	I
8pwu	B	b	A
8pwu	D	d	C
8pwu	F	f	E
8pwu	H	h	G
8pwu	J	j	I
8pwv	B	b	A
8pwv	D	d	C
8pwv	F	f	E
8pwv	H	h	G
8pww	B	b	A
8pww	D	d	C
8pwx	A	a	B
8q5d	B	C	A
8q5d	E	F	D
8r9w	H	L	A
8r9w	D	F	B
8r9w	E	G	C
8r9x	H	L	A
8r9y	B	C	A
8r9y	H	L	A
8r9z	B	C	A
8r9z	H	L	A
8tzn	G	H	C
8tzn	B	D	A
8tzw	H	L	C
8u03	H	L	C
8u08	H	L	C
8v2e	A	B	C
8v2e	D	E	F
8v4f	B	D	A
8wlj	D		A
8wsn	B	C	D
8wsn	E	F	A
8wsp	B	C	A
8wsp	E	F	D
8wsu	B	C	A
8wsu	E	F	D
8x0x	G	K	A
8x0x	H	L	E
8x0y	E	F	B
8x0y	G	I	A
8x8l	E	e	A | B
8x8n	E	e	A | B
8xs3	A	B	C
8yro	H	L	D
8yro	B	C	P
8yro	E	F	A
8yrp	n	o	B | A | C
8yut	N		A | B
8yuu	S	s	A | B
8yuv	S	s	A | G | B
8yz6	D	E	B
9fgr	E	e	C
9fgs	E	e	C
9fgt	E	e	C
9fgu	E	e	C
8t1g	G	I	D | C
8t1g	H	L	F | E
8t1g	J	K	B | A
8fsl	A		E
8fsl	C		E
8fsl	D		F
8fsl	B		F
8jh5	C		A
8jh5	D		B
8jin	P	p	A
8jin	B	b	A
8jio	C	B	A
8k9k	H	h	A | B | G
8k9l	H	h	A | B | G
8qz1	C		B
8qz1	D		A
8qz2	C		B | A
8qz3	C		B
8qz3	D		B
8qz3	E		A
8qz4	C		A
8qz4	D		B
8sw4	H	L	B
8sw4	E	F	I
8sw4	J	M	B
8sw4	K	N	G
8sw4	O	P	A
8sw4	Q	R	D
8sw4	S	T	C
8ttf	C	D	A
8tth	C	D	A
8uwl	E	e	B | C
8v6u	E	e	B | C
8ykv	E	e	A | B
8ykw	E	e	A | B
8ykx	E	e	A | B
8zc2	H	G	A
8zc2	Q	M	B
8zc2	R	N	C
8zc2	J	I	D
8zc2	O	K	E
8zc2	P	L	F
8zc6	H	G	A
8zc6	Q	M	B
8zc6	R	N	C
8zc6	J	I	D
8zc6	O	K	E
8zc6	P	L	F
8vue	G	H	D | C
8vue	I	J	F | E
8vue	K	L	B | A
8sfs	C		B
8c2r	F	E	A
8c2r	R	L	B
8g8a	A	B	C
8g8a	H	L	P
8g8c	H	L	C
8g8c	A	B	P
8g8d	H	L	P
8g8d	A	B	C
8jf7	J	K	B
8jf7	F		A
8jf7	H		C
8jpn	S	s	A | B
8jva	B	A	F
8jva	D		F
8kei	C	E	B
8sfx	D		B
8sfx	C		A
8sfz	C		D
8sfz	A		F
8sfz	B		F
8swh	H	L	A
8sx3	A	B	C
8sx3	H	L	C
8th4	C	D	A
8th4	B		A
8uo9	B		A
8uoa	B		A
8v5k	D		A
8v5k	G		A
8v5k	E		B
8v5k	F		C
8v5k	H		B
8v5k	I		C
8v62	D		A
8v62	E		B
8v62	F		C
8v62	G		A
8v62	H		B
8v62	I		C
8yrg	E	e	B | C
8suo	I	M	A
8suo	H	L	A
8f9m	C	D	G | A
8f9m	J	M	I | E
8f9m	K	N	B | F
8vfv	G	I	K | E
8vfv	C	D	F
8vfv	H	L	A
8vfv	M	N	B | J
8f92	C	D	I
8f92	H	L	A
8f92	J	M	B
8f92	O	Q	E
8f92	K	N	G
8f92	P	R	F
8oyu	E		C
8oyu	D		A
8rda	H	L	H
8rdf	H	L	H
8tnl	H	L	I
8tnl	D	E	K
8tnl	A	B	C
8toa	H	L	C
8toa	D	E	K
8toa	A	B	I
8xbe	S	s	B | C
8zby	H	D	A
8zby	G	E	B
8zby	I	F	C
8zbz	E	D	A
8zbz	Q	M	B
8zbz	R	N	C
8zc0	H	G	A
8zc0	Q	M	B
8zc0	R	N	C
8zc1	E	C	B
8zc3	E	D	A
8zc3	Q	M	B
8zc3	R	N	C
8zc4	H	G	A
8zc4	Q	M	B
8zc4	R	N	C
8zc5	E	C	B
8zc5	F	D	A
8ja5	H	L	A
8ja5	B	C	D
8owt	A		B
8owt	C		B
8owt	D		E
8owt	F		E
8owv	B		E
8owv	F		E
8oww	B		A
8pih	B		A
8pih	C		A
8pkc	C		A
8pkc	D		B
8qrf	A	B	E
8qrf	H	L	E
8qrg	H	L	E
8qrg	A		E
8qtd	H	L	A
8r80	H	L	R
8r80	A	B	E
8r8k	H	L	A
8t49	H	L	A
8t49	C	D	G
8t49	O	Q	E
8t49	J	M	I
8t49	P	R	F
8t49	K	N	B
8t4a	C	D	I
8t4a	H	L	A
8t4a	J	M	B
8t4a	O	Q	E
8t4a	K	N	G
8t4a	P	R	F
8t4b	C	D	I
8t4b	H	L	A
8t4b	J	M	B
8t4b	O	Q	E
8t4b	K	N	G
8t4b	P	R	F
8t4d	C	D	G
8t4d	H	L	A
8t4d	J	M	I
8t4d	O	Q	E
8t4d	K	N	B
8t4d	P	R	F
8t4l	C	D	I
8t4l	H	L	A
8t4l	J	M	B
8t4l	O	Q	E
8t4l	K	N	G
8t4l	P	R	F
8tng	H		E
8tng	I		C
8tng	J		A
8tnh	H		C
8tnh	I		E
8tnh	J		A
8tvh	G	E	B
8tvh	F	D	A
8tvh	I	H	C
8ut3	F	I	C | B
8ut4	I	H	F | A | E
8ut5	G	H	F | A | E
8uwa	U	D	C
8uwa	F	E	B
8uwa	H	G	A
8wnp	B	A	E
8wnp	D	C	F
8wnu	B	A	E
8wnu	D	C	F
8wo4	B	A	F
8wo4	D	C	E
8yx1	H	L	R
8yx1	A	B	C
8yx9	H	L	A
8yx9	B	C	J
8yx9	E	F	D
8yx9	G	I	K
8k0c	E	F	A
8k0c	G	H	B
8k0d	E	F	A
8k0d	C	D	B
8k3c	C	D	B
8oud	D		A
8oud	E		B
8oud	F		C
8r4b	B		A
8r4b	C		A
8r4c	C		A
8r4d	B		A
8sm1	H	L	G
8smm	H	L	A
8smn	H	L	A
8smp	H	L	A
8snc	B		A
8snc	C		A
8snd	B		A
8snd	C		A
8sne	B		A
8sne	C		A
8t9b	C	G	L
8t9b	A	B	K
8t9b	D	E	I
8t9b	F	H	J
8tzu	C		B
8tzu	D		B
8tzu	E		A
8tzu	G		A
8tzu	H		F
8uh3	E	e	A | B
8vzn	B	C	A
8vzo	B	D	A
8iuy	B	C	A
8iuz	B	C	A
8iv0	B	C	A
8ruu	B	C	X
8ruu	H	L	Y
8sgi	H	L	A
8sjk	B	A	A
8tqi	C	D	A
8tqi	E	F	B
8tqi	H	L	B
8tqi	I	J	A
8tqk	D	E	B
8tqk	F	G	C
8tqk	H	L	A
8x16	H	h	A | B
8x17	H	h	A | B
8xea	A	B	E
8xea	G	I	F
8xea	H	J	D
8xi6	D	E	A
8xi6	F	G	B
8xi6	H	I	C
8yy8	N		A | B
9auc	N		A | B
9bei	H	L	B
8tfh	H	L	B
8tfl	H	L	B
9axf	H	h	A
9axf	N		A | B
8b8i	A		I
8b8i	B		J
8b8i	C		K
8b8i	D		L
8b8i	E		M
8b8i	F		N
8b8i	G		O
8b8i	H		P
8f2x	H	L	A
8j23	F	f	B | C
8jg5	C	D	A
8jg5	E	F	B
8khc	F	G	B
